gene_name	qssm	qupm	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
PKLR	45	14	0.0103099	0.0721626	0.612799	0.687643	0.753302	0.879119	0.958185	0.863078	1.02693	1
DTYMK	4	3	0.0469001	0.123053	0.140399	0.329743	0.676548	0.800653	0.934064	0.829723	0.962513	1
NDE1	2	2	0.153495	0.209776	0.233033	0.419129	0.605031	0.629226	0.754296	1.00021	0.891346	1
ARHGAP1	17	8	0.00603609	0.0344917	0.0843785	0.0744736	0.187883	0.694726	0.918622	0.865619	0.8974	1
BRE	2	2	0.0621796	0.35053	0.698343	0.710841	0.794945	0.831999	0.836453	0.819274	0.987987	1
RPL13A	5	4	0.490286	0.564889	0.440462	1.3357	0.489494	0.976575	1.61787	2.0656	1.47556	1
ALB	2	2	0.382865	0.588703	0.63064	0.698324	0.827878	0.991113	1.02858	0.958291	1.07355	1
RPLP2	1	1	0.964916	1.21809	0.428276	0.395044	0.303269	0.511894	0.605691	0.68487	0.831442	1
RPL3	1	1	0	0.127747	0.108504	0.530197	0.351292	0.962032	0.585407	0.579128	0.704508	1
CCDC88C	1	1	0	0	0	0.0246809	0.0350775	0	0.0126877	0.557199	1.00404	1
POGK	2	2	0.00467454	0.0474087	0.0831364	0.0884138	0.151636	0.236475	0.291811	0.704729	0.990279	1
TXNIP	2	2	0.0321721	0.0998325	0.118139	0.170706	0.230301	0.314287	0.476294	0.63406	0.849681	1
MCM6	34	16	0.00587659	0.0137995	0.0251285	0.0457194	0.152764	0.766785	1.07026	1.21997	1.05026	1
TUBG1|TUBG2	3	2	0	0.00383433	0.125545	0.250289	0.377536	0.55984	0.628045	0.769218	0.903735	1
TSPYL5	1	1	0	0	0	0	0.122678	0.62363	1.1202	1.06292	0.926002	1
TONSL	3	3	0.0160551	0.049741	0.0481374	0.0655976	0.0879128	0.125284	0.121993	0.196032	0.672198	1
TRPV2	2	2	0	0.0155314	0.0988276	0.136794	0.272541	0.708801	0.560584	1.05043	1.1544	1
FAM172A	1	1	0	0.0562472	0.0977158	0.118436	0.287879	0.544953	0.735578	1.03132	0.971089	1
PPP1R13L	1	1	0.0260063	0.110172	0.131556	0.182588	0.280158	0.694743	0.732946	0.951911	1.35291	1
NEU1	2	2	0.0254269	0.0576486	0.241602	0.326621	0.521348	0.787155	0.862312	0.74194	0.820974	1
CCDC58	4	2	0.419862	1.09188	1.41505	1.46883	1.649	1.36949	1.24411	0.996783	1.20843	1
FNBP1	4	3	0.00885177	0.0121898	0.0700149	0.0498556	0.0840977	0.130272	0.427946	0.762486	0.901759	1
USP28	4	3	0.00478556	0.0315176	0.051681	0.063865	0.104798	0.137718	0.213172	0.666584	1.1211	1
NUB1	3	3	0	0	0.00474062	0.000477239	0.0313099	0.0651491	0.236782	0.501938	0.772981	1
FHL3	12	6	0.296046	0.431576	0.604222	0.822546	0.86662	0.895347	0.979566	1.02008	1.01571	1
YTHDF2	5	2	0.0114045	0.0226437	0.026913	0.0696671	0.183268	0.4124	0.645635	0.92404	0.990231	1
TIA1	2	1	0	0.0389764	0.0785331	0.254406	0.419713	0.648413	0.887369	0.921888	1.07438	1
PRKAR1A	4	3	0.0364752	0.0984457	0.163774	0.177689	0.326695	0.519445	0.67039	0.982217	0.957838	1
TRAPPC10	1	1	0.000875358	0.0120743	0	0.0193817	0.177059	0.69073	0.884421	1.11016	1.10303	1
UBXN2B	1	1	0.0209999	0.036486	0.037449	0.079618	0.0824293	0.170001	0.198961	0.515754	0.724495	1
TRAPPC4	6	5	0.0156305	0.0854767	0.177609	0.371276	0.534576	0.561811	0.7137	0.830809	0.804073	1
DRG1	24	9	0.00644591	0.014898	0.0595931	0.226866	0.49885	0.744482	0.933729	0.932558	0.952687	1
GORAB	3	3	0.00266436	6.95855E-005	0.0350446	0.0331656	0.0520172	0.27926	0.728677	0.957562	0.956599	1
GIGYF1	1	1	0	0.0394853	0.0323681	0.0155388	0.059215	0.138091	0.504043	0.729257	0.964449	1
TPM3	2	2	0.287659	0.42819	0.444709	0.463796	0.621874	0.747622	0.951047	1.04316	1.11575	1
LRCH4	1	1	0	0	0.145468	0.150639	0.0163441	0.493851	0.19683	0.672487	0.628791	1
KPNA3	3	1	0.00708889	0.00940758	0.0563418	0.0424326	0.387492	0.557646	0.887005	0.950603	0.920597	1
HMGCS1	11	5	0.0248022	0.037624	0.139321	0.382385	0.832598	1.03687	1.0364	0.796747	0.885936	1
GSPT2	2	1	0.0253379	0.0221586	0.023701	0.107169	0.476333	0.90279	0.911877	0.896926	0.85597	1
SPAG7	1	1	0.150085	0.222582	0.268566	0.378519	0.697996	0.791344	0.90011	0.783182	0.992972	1
SEC22B	2	2	0.0199901	0.0932812	0.265905	0.333003	0.604279	0.73364	0.899027	0.979482	0.95046	1
NUDCD3	1	1	0	0.0249016	0	0	0.0581411	0.130864	0.691011	1.20762	1.26337	1
E4F1	2	2	0	0.0502747	0.134567	0.073791	0.260906	0.265339	0.460083	0.573101	0.911279	1
NTPCR	3	2	0.0151291	0.0686465	0.147938	0.196245	0.427832	0.744482	0.743907	0.60162	0.742927	1
CNBP	14	8	0.155555	0.231881	0.270812	0.290557	0.427231	0.577518	0.764718	0.980565	1.00181	1
IL16	1	1	0.0142735	0.0743571	0.130568	0.120603	0.489913	0.86046	1.16571	1.11245	1.12858	1
CKAP5	42	28	0.0110858	0.0209569	0.0532481	0.0458426	0.0558967	0.103397	0.345959	0.803844	0.948592	1
WHSC2|NELFA	7	6	0.00921513	0.0176002	0.0312995	0.0490464	0.0822993	0.087341	0.197381	0.655663	0.877263	1
ARRB1	12	4	0	0.0445986	0.165955	0.387287	0.719586	0.817688	0.872543	0.903836	0.916615	1
STRIP2	4	4	0.0169943	0.0224287	0.0271672	0.0563569	0.240881	0.53418	0.675234	0.81371	0.944733	1
PYCARD	2	1	0.079029	0.144266	0.193987	0.190004	0.644864	1.04873	1.06168	0.847833	0.929057	1
HNRNPM	1	1	0.0371364	0.105249	0.183884	0.165253	0.168295	0.251184	0.446655	0.838377	1.10753	1
OLAH	1	1	0	0.116096	0.367832	0.472497	0.491895	0.667099	0.595738	0.864258	1.20295	1
RPAIN	2	1	0.00797005	0.0336764	0.0751121	0.0900312	0.22799	0.497837	0.807395	0.9896	0.977503	1
PRPF39	6	5	0.0052991	0.0193735	0.0441638	0.0424908	0.0668554	0.119145	0.206437	0.612713	0.836309	1
FOXRED1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COMMD10	2	2	0	0.0120369	0.0918346	0.198395	0.542254	0.761687	0.834548	0.912533	1.10706	1
TRIT1	2	2	0.015099	0.0561985	0.119719	0.0822821	0.149638	0.156707	0.309461	0.769622	1.09429	1
NCBP1	8	6	0.0726798	0.102283	0.341803	0.341532	0.494665	0.684646	1.07359	1.13761	1.05745	1
EIF2S3	14	8	0.00641363	0.0150212	0.0433055	0.199484	0.532941	0.883931	1.11498	1.02827	1.01351	1
TSKS	1	1	0	0.0332309	0.116234	0.14986	0.301405	0.417211	0.591273	0.837439	0.814288	1
DGKQ	3	2	0.0176832	0.0195182	0.0407398	0.0215901	0.0352652	0.113825	0.419073	0.77841	0.923704	1
MOCS1	1	1	0.432016	0.635353	0.747686	0.932256	0.892516	0.814994	0.618512	0.610065	0.567745	1
DKC1	7	6	0.34569	0.355238	0.356098	0.403827	0.484807	0.643181	0.685245	0.813942	0.793178	1
RASGRP2	1	1	0.00540575	0.00981584	0.0441358	0.0200926	0.0507991	0.0808431	0.072416	0.337756	0.850655	1
GM2A	3	2	0.484196	0.796429	0.7187	0.743619	0.948313	1.06806	0.99775	0.800715	0.948811	1
CARD11	2	2	0.0212598	0.0422607	0.037879	0.0746934	0.165707	0.201416	0.431282	0.91285	0.940282	1
HEMGN	15	9	0.500165	0.481378	0.50781	0.570447	0.821031	0.742373	0.880493	0.926706	0.875347	1
SLC1A4	1	1	0.101793	0.21136	0.236837	0.364555	0.418328	1.02468	0.69593	1.11569	1.1295	1
H1FX	1	1	0	0	0.060195	0.153872	0.209843	0.482478	0.751505	1.04156	0.756443	1
SOD2	8	5	1.74475	1.47091	1.79767	1.85574	1.73313	1.69408	1.41548	0.999862	1.2202	1
PTK2	13	9	0.0225748	0.0390976	0.0755738	0.148948	0.512179	0.783932	0.902336	0.953783	0.97793	1
CTTN	56	26	0.592018	0.708722	0.566635	0.713604	0.887297	0.905451	1.04075	0.992893	1.01817	1
TTC39B	1	1	0	0.0269087	0.161119	0.32052	0.818173	0.804802	0.934665	1.00023	0.868173	1
EIF4A2	5	4	0.0046905	0.026614	0.123516	0.301819	0.616164	0.843744	0.987186	0.912204	0.938658	1
TCEB3	6	6	0.00746258	0.0163184	0.025281	0.0251589	0.0376888	0.0649698	0.103676	0.674657	0.910193	1
STRADA	1	1	0	0	0	0.681389	0.899699	1.06574	1.07944	0.824846	1.37959	1
C9orf72	2	2	0	0.106677	0	0.350463	0.280192	0.701453	0.702063	1.17032	1.01145	1
KDM4B	1	1	0.0257337	0.0582046	0.0685122	0.0899512	0.128945	0.174064	0.297288	0.556923	0.801816	1
CASP8	6	5	0.00783488	0.00579248	0.0216577	0.0530037	0.100136	0.106309	0.486964	1.09815	1.16543	1
PPP3CB	2	2	0.0287117	0.0605398	0.0889157	0.116045	0.34031	0.664976	0.79743	0.811843	0.885238	1
RPS11	4	3	0.0764694	0.15498	0.318552	1.22502	0.944672	1.55646	1.0703	1.27335	1.1245	1
WDR89	3	3	0	0	0.426896	1.02063	1.7238	1.92973	2.05756	1.34034	1.09195	1
G6PD	43	15	0.00751769	0.0185834	0.0502612	0.218194	0.565621	0.779845	1.02493	1.05487	1.03768	1
FAHD2A	11	7	0.17293	0.301854	0.485465	0.607872	0.760647	0.842513	0.826149	0.857341	0.944213	1
LSM8	9	3	0.279245	0.465406	0.567422	0.67429	0.776733	0.821196	0.837135	0.891934	0.958134	1
NAE1	17	8	0.00744147	0.0196102	0.0382097	0.0396288	0.0944578	0.347971	0.734037	0.821387	0.88686	1
DCTN2	20	11	0.0231579	0.0363193	0.0516285	0.0646495	0.13461	0.520899	1.08141	1.07806	1.02501	1
AP3B1	35	19	0.00756205	0.0252716	0.0366318	0.0422647	0.0646966	0.355992	0.714218	1.01648	0.971751	1
HEXA	7	5	0.00486591	0.0215924	0.252624	0.544116	0.857235	1.1627	0.989423	0.823219	0.856621	1
EIF1B	1	1	0	0	0.616646	0.619146	1.47505	2.00918	1.46298	1.38471	1.68007	1
NDEL1	2	2	0.0566903	0.0541787	0.0593804	0.169134	0.216607	0.564222	0.719098	0.798294	0.902192	1
COPB2	24	14	0.00832899	0.0209565	0.0364151	0.0581282	0.283727	0.675357	0.994093	1.10209	0.971197	1
MAGEC1	4	3	0.00579807	0.0256356	0.0982823	0.103165	0.110485	0.144588	0.26287	0.474918	0.6404	1
ACTN2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR4	10	8	0.0149139	0.0368362	0.0771727	0.228001	0.571927	0.755839	0.85073	0.89308	0.905681	1
SMAP2	6	4	0.00389839	0.0147106	0.0298882	0.0773482	0.191359	0.314175	0.650179	0.833784	0.923559	1
DNPH1	3	3	0.0824564	0.651788	0.913451	0.892809	0.972002	0.825328	1.15902	1.06916	1.12271	1
XPOT	36	12	0.010179	0.0194495	0.0365577	0.0496612	0.0820194	0.219655	0.80427	0.944676	0.954108	1
TRAPPC13	2	2	0.0275794	0.0263118	0.0594456	0.141972	0.244038	0.355755	0.615734	0.812861	0.906543	1
CAPG	8	3	0.00265056	0.010448	0.0329665	0.0615996	0.169751	0.42192	0.849745	1.16752	1.12582	1
DPH2	4	3	0.0065051	0.0432957	0.123343	0.207103	0.519895	0.81754	0.919486	0.930595	1.02563	1
CARM1	24	10	0.0110956	0.0271099	0.341668	0.692751	0.844832	0.862075	0.975768	1.10379	1.03102	1
MLH1	3	3	0	0.00869898	0.00419025	0.0370561	0.041151	0.125908	0.199759	0.351185	0.761084	1
CRLF3	4	4	0.00590888	0.034844	0.0741351	0.0665865	0.140922	0.290413	0.739142	0.8169	0.898138	1
UBTF	5	4	0.0174115	0.0425525	0.0643528	0.0610345	0.114131	0.160677	0.193407	0.453446	0.971442	1
ALKBH8	1	1	0.0110454	0.0364859	0.0862217	0.0893281	0.139275	0.223675	0.450837	0.744569	0.994271	1
NUDT12	1	1	0.00212484	0.0441986	0.0283228	0.0172019	0.193591	0.89758	1.07296	1.2204	1.03718	1
RCL1	1	1	0	0.201736	0.0670175	0.0284625	0.164666	0.470291	1.18219	1.52487	1.01459	1
POLD3	9	5	0.0069533	0.0135241	0.0437799	0.0412065	0.0658595	0.126375	0.502114	0.880944	0.872371	1
CSTA	1	1	0.322711	0.512306	0.605917	0.619672	0.930488	1.31361	0.912279	0.637507	0.802649	1
ZRANB2	7	4	0.657289	0.610713	0.65694	0.603032	0.882149	0.890729	0.949066	0.904458	0.808422	1
CALCOCO1	6	4	0.0089156	0.0424838	0.0607529	0.0797596	0.187244	0.295396	0.638315	0.882275	0.989881	1
STAT5A	18	9	0.0235134	0.0377157	0.070161	0.0752354	0.105662	0.223352	0.517312	0.785703	0.852316	1
