gene_name	qssm	qupm	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
RPP40	3	2	0.0525132	0.268451	0.404532	0.821632	1.32416	1.01415	1.19648	1.36306	1.11249	1
PKLR	42	19	0.0296227	0.0998398	0.512712	0.704594	0.834567	0.923516	1.0073	1.14989	1.08752	1
DTYMK	14	6	0.0279974	0.0389759	0.317268	0.761939	0.986099	1.14823	1.1666	1.17975	1.15417	1
ARFGAP2	1	1	0.0160541	0	0.0487609	0.0737322	0.114691	0.280106	0.559731	1.02665	0.948835	1
ARHGAP1	17	7	0.0293458	0.0349186	0.0598004	0.0652726	0.194094	0.7328	1.0459	1.09698	1.09973	1
RPL13A	1	1	0.283281	0.215117	0.584398	1.39867	0.520141	0.730334	1.00924	1.22467	1.05165	1
RPLP2	4	4	1.60689	0.991721	0.757818	0.790297	0.607021	0.569492	0.718482	0.967157	1.03257	1
DPH1	4	3	0.0253727	0.0680965	0.110681	0.246623	0.633162	0.899769	0.993911	1.02481	1.10675	1
WDR76	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCM6	36	19	0.0208238	0.0276827	0.0422807	0.0518994	0.288451	0.954708	0.979492	1.16548	1.05489	1
YAE1D1	2	2	0.0300616	0.0350519	0.216045	0.353357	0.548338	0.902977	0.995663	1.10573	1.14965	1
TSPYL5	1	1	0.0162349	0	0.0199795	0.00771081	0.164026	0.53753	0.856909	1.01181	1.08578	1
H1FX	1	1	0.152968	0.238295	0.263037	0.464346	0.466894	0.381293	0.45184	1.39602	1.37607	1
RBM8A	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TONSL	4	4	0.0347142	0.0345317	0.042515	0.0293288	0.0973314	0.150626	0.131856	0.205995	0.758568	1
CCDC9	1	1	1.25713	0.67558	0.461366	0.470357	0.563494	0.844182	1.13553	1.12265	1.04635	1
NDE1	7	4	0.326029	0.201253	0.28493	0.44732	0.576032	0.759048	0.869099	1.12108	1.11051	1
FAM172A	1	1	0.0598422	0.0776171	0.242301	0.307094	0.539865	0.798625	0.820055	1.06893	1.07453	1
NEU1	7	5	0.0596948	0.0803463	0.16597	0.327194	0.479407	0.658929	0.849252	1.08034	1.11499	1
FNBP1	3	2	0.0178967	0.0230388	0.0431789	0.0497011	0.0720944	0.134493	0.558073	0.988922	1.07374	1
USP28	1	1	0.0180082	0.00940174	0.036106	0.107337	0.175801	0.166575	0.298091	0.76221	0.966819	1
NUB1	7	5	0.0113628	0.0198459	0.031289	0.0352102	0.051393	0.0606917	0.251558	0.799513	0.974944	1
YTHDF2	8	3	0.0348807	0.0514103	0.0523377	0.0647654	0.169384	0.42279	0.682509	1.02844	1.0416	1
GCC1	4	4	0.0257485	0.0288488	0.0391395	0.0441267	0.0823405	0.114266	0.165689	0.55355	0.845494	1
ISOC1	23	8	0.0243219	0.0417427	0.35031	0.869456	0.971066	1.05373	1.13005	1.24635	1.14649	1
EVI5L	2	2	0.111847	0.501564	1.41614	0.535834	0.732342	1.24461	1.02307	0.821003	0.818637	1
PRKAR1A	5	4	0.0346962	0.0569151	0.0899471	0.126704	0.313134	0.467653	0.924079	1.25271	1.14398	1
TRAPPC10	2	2	0.00757354	0.0151921	0.0511652	0.050759	0.289397	0.65915	0.856831	1.05193	1.06537	1
TRAPPC4	7	4	0.0370361	0.0580084	0.115831	0.342493	0.476367	0.542972	0.765221	1.00097	1.004	1
DKFZp781N011|FBXW11|BTRC	1	1	0.0410624	0.0416139	0.0694643	0.0663679	0.236936	0.463292	0.694928	0.798038	0.938697	1
ASF1A	3	1	0.0224917	0.0283352	0.0287488	0.0552093	0.388595	0.83795	1.09891	1.15314	1.11977	1
DAP3	1	1	0.00880575	0.0119988	0.0148083	0.0191444	0.0300166	0.343075	0.787815	1.09325	1.15386	1
GORAB	1	1	0.0287522	0.0323788	0.0714519	0.0578426	0.10768	0.253503	0.621206	0.995359	1.1306	1
GIGYF1	2	2	0.01222	0.0144693	0	0.0134072	0.0124051	0.0376957	0.205437	0.643781	0.899916	1
TPM3	2	1	0.700256	0.949487	0.701179	1.11975	1.1356	1.06818	1.12925	1.32027	1.48374	1
LRCH4	1	1	0.0808834	0.149386	0.334043	0.486847	0.16094	0.389267	0.607454	0.60046	0.899814	1
KPNA3	2	1	0.0226391	0.0197556	0.0854098	0.0961601	0.400252	0.591131	0.759067	1.17681	1.11372	1
HMGCS1	10	6	0.0201473	0.0249536	0.149269	0.469296	0.83947	0.964295	1.10894	1.2014	1.09871	1
RPLP0	5	2	0.0129955	0.0440191	0.264558	0.46073	0.14012	0.26283	0.623912	0.995433	1.04977	1
SPAG7	7	5	0.192179	0.288149	0.255939	0.424373	0.774499	0.863441	0.922702	1.21948	1.23085	1
SEC22B	2	1	0.0438526	0.0728	0.128413	0.3067	0.64151	1.13634	0.823895	0.996997	0.98899	1
NUDCD3	7	6	0.0391476	0.0599733	0.0866001	0.100746	0.160158	0.335892	0.801137	1.18237	1.11413	1
NTPCR	2	1	0.0436787	0.0291676	0.168652	0.472641	0.555532	1.25006	1.11135	1.01611	0.865903	1
CNBP	27	9	0.241098	0.221228	0.371634	0.489504	0.652176	0.892797	1.0664	1.14759	1.17416	1
LASP1	37	17	0.718133	0.792667	0.823411	0.960518	1.04482	0.976039	1.14728	1.26538	1.16092	1
